Time(microseconds),Data_set 0,Data_set 1,Data_set 2,Data_set 3,Data_set 4,Data_set 5,Data_set 6
1394.25125,600,598,598,598,600,600,600
1403.075625,600,600,600,598,600,598,600
1411.9,600,600,600,598,598,600,600
1420.724375,600,600,600,598,600,600,600
1429.54875,600,600,598,598,598,600,600
1438.373125,598,600,598,598,600,598,600
1447.1975,600,600,598,598,598,598,600
1456.021875,600,600,600,600,598,598,600
1464.84625,598,598,600,598,598,598,600
1473.670625,598,598,600,600,600,600,600
1482.495,600,598,598,600,598,598,600
1491.319375,598,600,598,598,598,598,600
1500.14375,598,600,600,598,598,598,600
1508.9681249999999,598,600,598,598,598,598,600
1517.7925,598,600,598,598,598,598,600
1526.616875,598,598,598,598,598,596,600
1535.44125,600,598,600,600,598,598,600
1544.265625,600,600,600,598,598,598,600
1553.09,598,600,598,600,598,598,600
1561.914375,598,600,600,598,598,598,600
1570.73875,600,598,598,598,598,598,600
1579.563125,598,598,600,598,598,600,600
1588.3875,598,600,600,598,598,600,600
1597.211875,598,598,598,598,598,598,600
1606.0362499999999,598,598,598,600,598,600,600
1614.860625,598,598,598,598,598,598,600
1623.685,598,598,600,598,598,598,600
1632.5093749999999,600,598,598,598,598,598,600
1641.33375,598,600,598,598,598,598,600
1650.158125,598,598,598,598,598,598,600
1658.9825,598,598,600,598,598,600,600
1667.806875,598,600,598,598,596,598,600
1676.63125,598,598,598,598,600,598,600
1685.455625,598,598,598,595,598,598,600
1694.28,598,598,598,598,598,598,600
1703.104375,598,598,596,598,598,598,600
1711.92875,598,595,598,598,596,600,600
1720.753125,598,595,598,598,598,598,600
1729.5774999999999,598,598,598,598,598,598,600
1738.401875,598,598,598,598,598,600,600
1747.22625,598,598,598,598,596,598,600
1756.050625,598,598,600,595,598,598,600
1764.875,598,598,598,598,598,598,600
1773.699375,598,598,598,595,598,598,600
1782.52375,598,596,598,595,598,596,598
1791.348125,598,595,598,596,598,596,600
1800.1725,596,595,598,595,598,598,600
1808.996875,598,598,598,596,598,598,600
1817.82125,598,598,598,598,595,598,600
1826.6456249999999,595,600,596,598,598,598,600
1835.47,598,598,598,595,598,598,600
1844.294375,595,598,598,595,598,596,600
1853.1187499999999,598,595,598,598,598,598,600
1861.943125,596,598,598,595,598,595,598
1870.7675,598,598,598,595,598,595,598
1879.591875,598,596,598,596,598,596,600
1888.41625,598,598,595,595,598,598,598
1897.240625,598,596,598,595,598,598,600
1906.065,598,598,598,595,596,598,598
1914.889375,596,595,598,598,595,598,600
1923.71375,598,598,598,598,598,596,600
1932.538125,598,598,595,595,595,595,598
1941.3625,595,595,598,596,596,598,600
1950.1868749999999,596,598,595,598,595,596,598
1959.01125,595,598,598,596,595,598,600
1967.835625,595,596,595,595,595,596,600
1976.6599999999999,595,595,596,595,598,598,600
1985.484375,598,596,598,595,595,596,600
1994.30875,595,598,598,595,595,595,598
