Time(microseconds),Average Signal
1831,42.08899045319288
1840,42.381147039873184
1848,42.66940563488504
1856,42.95377607510308
1864,43.234268197401285
1872,43.510891838654985
1880,43.78365683573816
1888,44.0525730255259
1896,44.317650244891965
1904,44.578898330711695
1912,44.83632711985904
1920,45.089946449208796
1928,45.33976615563571
1936,45.58579607601388
1944,45.828046047218294
1952,46.06652590612315
1960,46.301245489603104
1968,46.532214634532814
1976,46.75944317778682
1984,46.982940956239425
1992,47.202717806765634
2000,47.41878356623942
2008,47.631148071535534
2016,47.83982115952889
2024,48.044812667093424
2032,48.24613243110427
2040,48.443790288435494
2048,48.637796075962115
2056,48.828159630558076
2064,49.014890789098516
2073,49.19799938845772
2081,49.37749526551013
2089,49.55338825713062
2097,49.725688200193176
2105,49.89440493157267
2113,50.05954828814397
2121,50.22112810678119
2129,50.379154224358956
2137,50.53363647775194
2145,50.68458470383446
2153,50.83200873948127
2161,50.97591842156679
2169,51.116323586965905
2177,51.25323407255261
2185,51.38665971520153
2193,51.516610351787904
2201,51.643095819185476
2209,51.766125954269
2217,51.88571059391326
2225,52.00185957499268
2233,52.11458273438167
2241,52.223889908955016
2249,52.329790935587255
2257,52.43229565115236
2265,52.531413892525535
2273,52.62715549658135
2281,52.71953030019375
2289,52.80854814023786
2298,52.89421885358787
2306,52.97655227711891
2314,53.05555824770458
2322,53.13124660222012
2330,53.20362717753984
2338,53.272709810538174
2346,53.338504338090104
2354,53.40102059706994
2362,53.460268424351895
2370,53.51625765681096
2378,53.56899813132145
2386,53.618499684758
2394,53.66477215399529
2402,53.70782537590762
2410,53.747669187369425
2418,53.784313425255576
2426,53.81776792644061
2434,53.848042527798974
2442,53.87514706620507
2450,53.89909137853368
2458,53.919885301659235
2466,53.93753867245627
2474,53.9520613277992
2482,53.96346310456303
2490,53.971753839621854
2498,53.976943369850304
2506,53.979041532122835
2514,53.978058163314415
2522,53.97400310029916
2531,53.9668861799518
2539,53.956717266333854
2547,53.94350633225534
2555,53.92726337771333
2563,53.90799840270447
2571,53.885721407225944
2579,53.860442391274844
2587,53.832171354847915
2595,53.80091829794223
2603,53.766693220554785
2611,53.72950612268252
2619,53.68936700432232
2627,53.646285910472486
2635,53.60027306613419
2643,53.55133874131034
2651,53.49949320600355
2659,53.4447467302168
2667,53.38710958395229
2675,53.32659203721255
2683,53.26320436000066
2691,53.196956822319294
2699,53.12785969417061
2707,53.05592324555782
2715,52.98115774648302
2723,52.9035734669493
2731,52.823180676959055
2739,52.73998964651483
2747,52.65401064561962
2756,52.56525394427605
2764,52.4737298124862
2772,52.379448520253604
2780,52.282420337580135
2788,52.182655534468665
2796,52.08016438092203
2804,51.974957146942906
2812,51.86704410253347
2820,51.7564355176967
2828,51.64314166243558
2836,51.527172806752304
2844,51.40853922064963
2852,51.28725117412996
2860,51.163318937196294
2868,51.036752779851035
2876,50.90756297209728
2884,50.77575978393711
2892,50.64135348537351
2900,50.504354346408995
2908,50.36477263704622
2916,50.22261862728771
2924,50.07790258713645
2932,49.930634786594744
2940,49.78082549566557
2948,49.62848498435133
2956,49.473623522654705
2964,49.31625138057841
2972,49.15637882812488
2980,48.99401613529687
2989,48.82917357209725
2997,48.66186140852865
3005,48.492089914593166
3013,48.31986936029422
3021,48.14521001563389
3029,47.96812215061528
3037,47.78861603524034
3045,47.606701939512284
3053,47.42239013343353
3061,47.23569088700705
3069,47.04661447023517
3077,46.85517115312051
3085,46.66137120566606
3093,46.46522489787412
3101,46.26674249974745
3109,46.06593428128846
3117,45.86281051250025
3125,45.65738146338525
3133,45.449657403945956
3141,45.23964860418549
3149,45.02736533410581
3157,44.81281786371011
3165,44.596016463000716
3173,44.37697140198037
3181,44.15569295065181
3189,43.93219137901762
3197,43.70647695708038
3205,43.478559954843114
3214,43.24845064230776
3222,43.016159289477656
3230,42.781696166354976
3238,42.5450715429425
3246,42.30629568924307
3254,42.06537887525924
3262,41.822331370993524
3270,41.577163446448445
3278,41.32988537162689
