Time(microseconds),data_set_0,data_set_1,data_set_2,data_set_3,data_set_4
3930.1843750000003,646,606,604,604,604
3939.01625,646,604,604,604,604
3947.848125,646,604,604,604,604
3956.6800000000003,646,606,604,604,604
3965.511875,646,606,604,604,604
3974.34375,646,604,604,604,604
3983.175625,646,604,606,604,604
3992.0075,646,604,606,604,604
4000.839375,646,606,604,604,604
4009.67125,646,604,604,606,604
4018.503125,646,606,604,604,604
4027.335,646,604,604,604,604
4036.166875,646,606,604,604,604
4044.99875,646,606,604,604,604
4053.830625,646,606,604,604,604
4062.6625,646,604,604,604,604
4071.494375,646,604,604,604,604
4080.32625,646,606,604,604,604
4089.158125,646,606,604,604,604
4097.99,646,604,604,604,604
4106.821875,646,604,604,604,604
4115.65375,646,604,604,604,604
4124.485625,646,604,604,604,604
4133.3175,646,604,604,604,604
4142.149375,646,606,604,604,604
4150.98125,646,604,604,604,604
4159.813125,646,604,604,604,604
4168.645,646,604,604,604,604
4177.476875,646,604,604,604,604
4186.30875,646,604,604,604,604
4195.140625,646,604,604,604,604
4203.9725,646,604,604,604,604
4212.804375,646,604,604,604,604
4221.6362500000005,646,604,604,604,604
4230.468125,646,604,604,604,604
4239.3,646,604,604,604,604
4248.131875,646,604,604,604,604
4256.96375,646,604,604,604,604
4265.795625,646,604,604,604,604
4274.6275000000005,646,604,604,604,604
4283.459375,646,604,604,604,604
4292.29125,646,604,604,604,604
4301.123125,646,604,604,604,604
4309.955,646,604,604,604,604
4318.786875,646,604,604,604,604
4327.61875,646,604,604,604,604
4336.450625,646,604,604,604,604
4345.2825,646,604,604,604,604
4354.114375,646,604,604,604,604
4362.94625,646,604,604,604,604
4371.778125,646,604,604,604,604
4380.61,646,604,604,604,604
4389.441875,646,604,604,604,604
4398.27375,646,604,604,604,604
4407.105625,646,604,604,604,604
4415.9375,646,604,604,604,604
4424.769375,646,604,604,604,604
4433.60125,646,604,604,604,604
4442.4331250000005,646,604,604,604,604
4451.265,646,604,604,604,604
4460.096875,646,604,604,604,604
4468.92875,646,604,604,604,604
4477.760625,646,604,604,604,604
4486.5925,646,604,604,604,604
4495.4243750000005,646,604,604,604,604
4504.25625,646,604,604,604,604
4513.088125,646,604,604,604,604
4521.92,646,604,604,604,604
4530.751875,646,604,604,604,604
4539.58375,646,604,604,604,604
4548.415625,646,604,604,604,604
4557.2475,646,604,604,604,604
4566.079375,646,604,604,604,604
4574.91125,646,604,604,604,604
4583.743125,646,604,604,604,604
4592.575,646,604,604,604,604
4601.406875,646,604,604,604,604
4610.23875,646,604,604,604,604
4619.070625,646,604,604,604,604
4627.9025,646,604,604,604,604
4636.734375,646,604,604,604,604
4645.56625,646,604,604,604,604
4654.398125,646,604,604,604,604
4663.2300000000005,646,604,604,604,604
4672.061875,646,604,604,604,604
4680.89375,646,604,604,604,604
4689.725625,646,604,604,604,604
4698.5575,646,604,604,604,604
4707.389375,646,604,604,604,604
4716.2212500000005,646,604,604,604,604
4725.053125,646,604,604,604,604
4733.885,646,604,604,604,604
4742.716875,646,604,604,604,604
4751.54875,646,604,604,604,604
4760.380625,646,604,604,604,604
4769.2125,646,604,604,604,604
4778.044375,646,604,604,604,604
4786.87625,646,604,604,604,604
4795.708125,646,604,604,604,604
4804.54,646,604,604,604,604
4813.371875,646,604,603,604,603
4822.20375,646,604,604,604,604
4831.035625,646,604,601,604,604
4839.8675,646,604,603,604,601
